Country (or dependent territory),Population
Andorra,1559
United Arab Emirates,68618
Albania,13061
Armenia,5546
Antarctica,12219
Argentina,588613
Austria,864920
Australia,2821597
Azerbaijan,2927
Bosnia and Herzegovina,5666
Barbados,1372
Bangladesh,53676
Belgium,1184370
Bulgaria,306499
Bahrain,2630
Burundi,1294
bj,6292
Bermuda,1994
"Bolivia, Plurinational State of",23667
Brazil,1594130
Botswana,11205
Belarus,204395
Canada,4216545
Democratic Republic of Congo,2283
Switzerland,1958497
ci,1028
Chile,126447
Cameroon,7043
China,4553672
Colombia,144730
Costa Rica,96413
Cuba,8146
Cyprus,17894
Czech Republic,1117584
Germany,10733297
Denmark,750016
Dominican Republic,3724
Algeria,10858
Ecuador,42825
Estonia,174983
Egypt,82568
Spain,2099164
Ethiopia,4416
Finland,1043695
Fiji,6593
France,5730714
United Kingdom,9470327
Granada,8434
Ghana,20590
Greece,3451397
Guatemala,10747
* Hong Kong* (China),256138
hn,7023
Croatia,162245
Hungary,348691
Indonesia,343963
Ireland,418626
Israel,454431
India,1548211
Iran,101854
Iceland,32865
Italy,1520400
* Jersey* (UK),3874
Jamaica,7903
Jordan,76961
Japan,4037298
Kenya,64352
kg,7583
Cambodia,12572
km,1164
North Korea,11504
South Korea,651735
kw,9407
Kazakhstan,12943
Lebanon,19653
Saint Lucia,1044
Sri Lanka,81889
Lithuania,116243
lu,66179
Latvia,79414
Morocco,14539
Moldova,40690
me,3086
mg,1012
mh,1101
mk,1008
ml,1388
Mongolia,2104
mp,2805
Malta,29461
Maldives,3347
Malawi,7845
Mexico,373971
Malaysia,141304
* New Caledonia* (France),6321
Nigeria,33718
Nicaragua,7048
Netherlands,2718242
Norway,1094775
Nepal,35053
New Zealand,776570
Oman,2254
Panama,6409
Peru,83065
Philippines,186255
Pakistan,40901
Poland,1387531
pn,2090
Puerto Rico,11957
ps,1449
Portugal,459452
Paraguay,14707
re,6163
Romania,439592
Serbia,106012
Russian Federation,2693081
Rwanda,10592
Saudi Arabia,11548
Sweden,2015667
Singapore,477914
Slovenia,152745
Slovakia,104789
Senegal,1848
Suriname,1147
El Salvado,11550
Syria,4269
Thailand,186361
Tunisia,8435
Turkey,235503
Trinidad and Tobago,4367
Taiwan,1021556
Tanzania,15719
Ukraine,1091836
Uganda,17954
United States,20761036
Uruguay,138693
Uzbekistan,1355
Vatican City,1027
Venezuela,69873
Vietnam,240591
South Africa,346158
Zambia,1350
Zimbabwe,1240
