id,company,created_at,type,num_commits
4,@ValuationUp & @cloudafrica,04/28/08,USR,1453
5,DNSimple,04/06/08,USR,12497
6,KeyLemon,02/05/10,USR,112090
7,anydooR Inc,09/30/08,USR,250
12,Merlin Design Ltd,05/24/09,USR,2682
27,Neo,03/27/08,USR,3606
36,Flowerpot Games,03/29/12,USR,153
43,Chukong Technologies Inc.,07/27/10,USR,2897
51,JanduSoft,04/24/11,USR,214
63,baidu,03/15/12,USR,178
64,Zynga,03/11/10,USR,363
73,@XLucidity ,03/04/12,USR,2982
77,heroku,10/22/09,USR,315
78,NewsBlur,01/05/09,USR,10608
79,Heroku / salesforce.com,12/14/10,USR,2190
81,Heroku,12/01/10,USR,573
84,Heroku,08/08/11,USR,3785
89,Bettag Systems UG,05/01/09,USR,773
92,Heroku,02/23/08,USR,3704
93,@referentiallabs ,02/21/08,USR,1953
102,AREA 17,03/31/08,USR,2731
107,Comcard,01/04/10,USR,2940
109,Mapbox,06/24/09,USR,13919
112,Google,05/31/12,USR,2370
113,ClearCode Inc.,10/02/08,USR,33981
115,Finkhaeuser Consulting,02/15/10,USR,1499
116,Intel,03/08/12,USR,1182
129,GitHub,03/14/08,USR,12955
136,PythonAnywhere LLP,09/21/09,USR,891
138,Coursera,03/11/12,USR,248
139,Cloudflare,01/19/11,USR,5967
143,Hasso Plattner Institute,01/13/09,USR,7116
144,"Tmall, DP, MS",04/12/11,USR,1263
145,Mirocow company,08/26/10,USR,877
150,Skive (qLearning Applications GmbH),02/24/08,USR,6381
153,@MeteoGroup,11/11/11,USR,2796
160,GE Healthcare Korea Technology Center,07/03/11,USR,827
161,XS-Labs,10/29/09,USR,5461
165,Novoda,12/02/11,USR,212
166,Pow! Media,07/28/10,USR,937
168,Mozilla Corporation,02/21/10,USR,2774
173,SumoCoders,04/22/10,USR,5570
175,SUSE,11/18/08,USR,249
178,UC Berkeley,10/07/11,USR,135
185,http://pro-cut.com.vn/,12/03/10,USR,697
186,@SocialSuperstore ,11/05/09,USR,4343
189,Fast Forward Labs,07/22/08,USR,236
191,Mozilla,06/17/09,USR,3879
194,Lunar Gravity,08/16/11,USR,107
198,Europace AG,08/19/10,USR,585
202,Mozilla,06/13/11,USR,11185
203,Mozilla,02/03/09,USR,6635
214,"Google, Inc.",04/05/10,USR,14837
216,Wuit,10/31/08,USR,1998
217,Jack Mobile (http://onjack.com),12/09/08,USR,5660
218,Shanghai Jiao Tong University,02/04/10,USR,311
225,Trifork,01/14/10,USR,831
230,JActor Consulting,06/11/11,USR,7460
233,Finn GmbH,11/27/09,USR,2404
234,MBARI,01/10/11,USR,3971
240,"University of Maryland, College Park",03/25/12,USR,189
245,Revolution Systems,01/30/09,USR,2698
246,RightScale,05/29/09,USR,1208
247,gidsy.com,09/02/08,USR,173
264,Picolab,04/06/09,USR,229
266,Crom Microsystems,08/30/09,USR,1442
271,Google – @google,08/04/09,USR,870
273,iOS Contractor,11/22/08,USR,776
284,Institut Pierre Simon Laplace,12/16/11,USR,4935
286,STFC,03/18/11,USR,720
301,Mathematics Inc.,08/16/10,USR,1672
304,Amazon Web Services,11/24/09,USR,4120
306,mobiThought,02/26/08,USR,104
316,"CTO @ Knotch. Previously led engineering at CollegeHumor, Lot18, and Nomi",03/16/10,USR,158
317,Squarespace,02/12/10,USR,387
330,Abby,08/31/08,USR,1189
333,GitHub,09/04/09,USR,1275
335,Hand Built,11/24/08,USR,14605
337,The New York Times,09/01/10,USR,504
339,Paro Alberto Maria Angelo Consulting,10/08/08,USR,701
348,Astrolet,03/06/08,USR,2605
350,Ether,02/18/08,USR,247
355,10Gen.com,04/07/08,USR,6787
357,Freelance,06/23/08,USR,462
360,Itseez,11/12/12,USR,1149
366,"Tao Effect, okTurtles",10/12/09,USR,1079
372,Polar Mobile,06/30/09,USR,331
376,Jane Street,02/09/09,USR,609
379,Ideeli ,10/02/09,USR,154
384,UX Foundry,06/25/09,USR,429
386,Blossom,06/24/08,USR,319
388,Developer at Elastic. Creator of Superhero.js.,04/05/08,USR,2063
390,@stormz ,05/20/09,USR,2043
391,Cooper Press Ltd.,02/02/08,USR,374
397,Axelerant,12/21/08,USR,635
399,http://www.loggi.com,11/17/08,USR,2730
401,Hudl,09/24/08,USR,1347
402,Docker,04/30/10,USR,7483
404,http://olark.com,09/08/08,USR,884
405,Red Hat,02/18/10,USR,2736
407,Participatory Culture Foundation,06/07/10,USR,920
408,Tapad,02/17/09,USR,190
409,Salesforce,10/02/08,USR,4570
412,Reykjavík University,02/26/09,USR,5732
413,Lionheart Software,12/05/08,USR,3826
416,http://johntantalo.com,02/28/08,USR,340
418,Robinhood,02/28/08,USR,11054
419,Too many secrets,03/17/08,USR,3154
421,@HillaryClinton ,08/10/08,USR,12681
422,http://timehop.com/,04/07/08,USR,559
423,mist.io,03/02/11,USR,635
435,Palantir,01/23/09,USR,293
437,Taipei Hackerspace,12/07/08,USR,3037
439,@yahoojapan,11/15/08,USR,1370
440,Svven,07/12/09,USR,667
450,TigerText,12/03/09,USR,261
455,Breaking News,02/28/08,USR,139
456,Keepsolid,01/13/10,USR,274
459,Consultant,06/11/08,USR,915
460,Emanuel Calso,05/21/09,USR,149
462,Red Hat,03/27/10,USR,3328
464,Fewlaps S.L,03/13/11,USR,221
465,Dependency CI,02/27/08,USR,11486
472,Made with bytes,10/15/09,USR,2600
477,Nulltyped,07/06/11,USR,774
480,mymorningroutine.com,02/06/10,USR,152
481,University of Nebraska-Lincoln,10/20/10,USR,1360
489,FH Salzburg - University of Applied Science,11/26/08,USR,1569
490,TUT,07/20/10,USR,164
491,MechanisM,09/01/09,USR,225
493,Advanced Digital Science Center ,05/15/10,USR,641
494,"Station3, Inc.",06/22/11,USR,241
497,Google,12/11/08,USR,613
505,Inclusive Design Research Centre,01/13/11,USR,1494
511,Componentix,09/14/09,USR,350
517,Automattic,07/24/09,USR,1106
519,CARTO,01/09/09,USR,6465
521,Stanford University,07/22/11,USR,496
524,Gardeshnama,05/03/09,USR,137
527,New York University,10/04/10,USR,9868
528,http://mdolon.com/,06/04/10,USR,196
531,Sars Centre,08/11/10,USR,799
534,"PayPal, Inc.",04/12/08,USR,4994
535,Hortonworks,03/21/10,USR,3053
537,Envoy,02/11/10,USR,3089
540,@bulutyazilim,01/15/10,USR,2174
553,Asaleo jsc,01/19/09,USR,334
554,@Hazeorid & @Hacktiv8,04/02/10,USR,2820
556,Lightmatter,02/20/10,USR,150
557,Royal Bits,06/02/10,USR,541
560,Appsembler,08/24/09,USR,979
561,silverorange,01/27/09,USR,962
568,Esri,04/09/10,USR,855
573,@moogu ,05/06/09,USR,1682
586,@cairnco ,02/05/10,USR,584
587,"Google, Inc.",06/30/08,USR,543
595,OCAD University,03/08/12,USR,411
598,Sawhorse Media,12/06/09,USR,200
601,@sonnetmedia ,08/14/09,USR,18968
617,Bocoup,12/11/09,USR,4895
620,SpotMe,05/25/08,USR,140
624,Google,10/15/09,USR,642
630,SwingDev,05/19/08,USR,118
632,Mozilla,07/27/10,USR,138
638,23 Spaces,01/30/09,USR,171
640,@sensiolabs,04/13/09,USR,8503
643,Y Combinator,02/26/10,USR,182
646,Itseez,04/19/12,USR,154
651,"Facebook, Ex-@Twitter, TodoMVC, @TasteJS, @Yeoman",05/10/08,USR,7421
655,Yakamoz Labs,05/30/09,USR,213
663,Booking.com,01/09/09,USR,3316
666,Luis Abreu Ltd.,08/18/08,USR,352
670,Nektra Advanced Computing & Data Big Bang,10/19/09,USR,109
675,@necenzurat,10/27/09,USR,289
680,CERN,10/26/09,USR,8294
682,Milewide,12/09/08,USR,186
684,Atlassian,01/29/10,USR,798
695,GasBuddy,03/12/09,USR,779
698,HashCube,07/01/09,USR,495
701,"Google, Inc",04/05/11,USR,13757
703,Amahi,05/10/08,USR,1183
704,TypesetIO,03/06/10,USR,653
706,Lyft,04/06/10,USR,626
708,Please see @dcai,04/13/08,USR,1431
709,@Instacart,02/20/09,USR,3622
712,US Auto Parts Network Philippines Corp,02/06/11,USR,100
716,DabApps (http://www.dabapps.com),04/12/08,USR,998
733,Yahoo,10/15/08,USR,5674
736,http://lightcorp.net/,05/31/08,USR,271
740,Etch Software,03/16/11,USR,152
744,nerd,08/14/10,USR,590
746,Arezzo&Co,11/22/10,USR,538
757,romack.net,07/16/10,USR,160
763,Temesis,11/15/08,USR,225
764,Mozilla,03/25/09,USR,5376
772,Izberg Marketplace,01/13/11,USR,304
775,Math & Pencil ,04/17/10,USR,1007
776,Social Point,09/14/08,USR,140
777,@Betaworks,09/26/10,USR,9870
778,Bleacher Report,05/31/09,USR,109
784,hackers4peace,06/26/11,USR,1850
786,CastRoller,11/14/08,USR,170
789,UrbanStems,09/21/10,USR,197
794,eResources,02/17/11,USR,1439
796,Heroku,08/26/09,USR,10955
798,Mozilla,10/13/09,USR,5375
799,@AusDTO ,06/02/08,USR,3715
802,Software Developer,03/21/08,USR,878
817,@10up,09/20/10,USR,287
821,"Yelp - Austin, TX",09/29/08,USR,1124
823,Mozilla Corporation,08/23/08,USR,7097
831,@riptano @datastax ,09/23/10,USR,1140
839,Apple,12/30/15,USR,19915
840,All Day,02/29/08,USR,1263
844,Smaato,04/11/11,USR,374
845,Numiko,12/24/10,USR,112
850,Counsyl,09/04/09,USR,804
854,@luizalabs,03/06/10,USR,414
856,UniCredit R&D,11/04/09,USR,1767
858,@TailorDev ,03/07/10,USR,11356
859,@Incenteev,10/14/10,USR,8158
861,Student at University of Paderborn,04/20/11,USR,1960
862,Mozilla,04/16/11,USR,9248
866,Pivotal,11/16/10,USR,8323
867,"Light Transport Entertainment, Inc.",07/28/08,USR,1987
869,Mozilla,10/31/09,USR,17354
872,Mozilla Corporation,11/25/09,USR,10380
873,Mozilla,06/09/10,USR,11197
875,Ubisoft Blue Byte,12/21/10,USR,5556
877,@heroku,03/13/08,USR,4299
886,http://spring.io,09/22/11,USR,4828
