language,year,month,created_repos
\N,2008,1,5
\N,2008,2,44
\N,2008,3,62
\N,2008,4,205
\N,2008,5,170
\N,2008,6,236
\N,2008,7,337
\N,2008,8,419
\N,2008,9,689
\N,2008,10,897
\N,2008,11,921
\N,2008,12,1415
\N,2009,1,1728
\N,2009,2,1844
\N,2009,3,1428
\N,2009,4,2516
\N,2009,5,1732
\N,2009,6,1624
\N,2009,7,1694
\N,2009,8,1963
\N,2009,9,2056
\N,2009,10,2614
\N,2009,11,3031
\N,2009,12,2598
\N,2010,1,2904
\N,2010,2,3113
\N,2010,3,4135
\N,2010,4,3408
\N,2010,5,3654
\N,2010,6,3946
\N,2010,7,4280
\N,2010,8,4835
\N,2010,9,5939
\N,2010,10,6810
\N,2010,11,7287
\N,2010,12,6729
\N,2011,1,8341
\N,2011,2,9393
\N,2011,3,10787
\N,2011,4,11086
\N,2011,5,11718
\N,2011,6,13381
\N,2011,7,12662
\N,2011,8,8248
\N,2011,9,2965
\N,2011,10,3178
\N,2011,11,3607
\N,2011,12,3739
\N,2012,1,7594
\N,2012,2,7970
\N,2012,3,9617
\N,2012,4,9569
\N,2012,5,10443
\N,2012,6,11576
\N,2012,7,31661
\N,2012,8,31992
\N,2012,9,35510
\N,2012,10,13852
\N,2012,11,24254
\N,2012,12,24970
\N,2013,1,41735
\N,2013,2,57374
\N,2013,3,55160
\N,2013,4,35265
\N,2013,5,57525
\N,2013,6,48483
\N,2013,7,55123
\N,2013,8,55782
\N,2013,9,49837
\N,2013,10,68546
\N,2013,11,75191
\N,2013,12,61126
\N,2014,1,73692
\N,2014,2,71042
\N,2014,3,91112
\N,2014,4,96421
\N,2014,5,66645
\N,2014,6,75799
\N,2014,7,116598
\N,2014,8,102857
\N,2014,9,101584
\N,2014,10,129875
\N,2014,11,164723
\N,2014,12,223387
\N,2015,1,380137
\N,2015,2,329219
\N,2015,3,329984
\N,2015,4,352545
\N,2015,5,323420
\N,2015,6,316925
\N,2015,7,151678
\N,2015,8,197547
\N,2015,9,243649
\N,2015,10,309128
\N,2015,11,299482
\N,2015,12,318497
\N,2016,1,383875
\N,2016,2,787877
\N,2016,3,1023753
\N,2016,4,757050
\N,2016,5,1112060
\N,2016,6,988071
\N,2016,7,698883
\N,2016,8,964931
\N,2016,9,1269965
\N,2016,10,1109525
\N,2016,11,1375882
\N,2016,12,533166
\N,2017,1,1244736
\N,2017,2,832015
\N,2017,3,1495591
\N,2017,4,1605483
\N,2017,5,1
"1C Enterprise",2016,1,1
"1C Enterprise",2016,4,1
"1C Enterprise",2016,7,1
"1C Enterprise",2016,8,6
"1C Enterprise",2016,9,44
"1C Enterprise",2016,10,59
"1C Enterprise",2016,11,51
"1C Enterprise",2016,12,85
"1C Enterprise",2017,1,65
"1C Enterprise",2017,2,76
"1C Enterprise",2017,3,69
"1C Enterprise",2017,4,43
