year,language,num_issues,pull_requests,repositories
2008,Ruby,121226,59110,1046
2008,JavaScript,13548,5746,209
2008,Python,12887,6184,183
2008,C++,6546,2901,76
2008,Objective-C,1150,426,36
2008,C,6968,3751,139
2008,Perl,4749,2285,194
2008,HTML,1810,879,32
2008,VimL,2532,971,42
2008,C#,3772,1580,8
2008,\N,1420,608,71
2008,Puppet,238,227,10
2008,Java,4091,1419,68
2008,Objective-J,2618,1008,2
2008,R,2318,647,7
2008,PHP,2191,851,76
2008,Lua,215,110,19
2008,Erlang,1344,557,26
2008,Clojure,258,86,9
2008,CSS,754,161,13
2008,Haskell,870,281,31
2008,Assembly,394,372,1
2008,Emacs Lisp,1650,806,51
2008,Makefile,54,48,3
2008,Shell,454,345,34
2008,Scala,189,64,5
2008,Ragel in Ruby Host,39,26,2
2008,Arc,58,24,2
2008,Common Lisp,64,34,17
2008,ActionScript,21,13,6
2008,FORTRAN,115,74,3
2008,OpenEdge ABL,14,3,1
2008,TeX,345,71,5
2008,SQL,11,1,1
2008,XS,1,1,1
2008,Factor,1,1,1
2008,XML,29,8,1
2008,Self,118,60,1
2008,Forth,5,2,1
2008,Groovy,41,19,5
2008,D,14,9,2
2008,Vala,4,4,1
2008,Scheme,28,10,2
2008,AGS Script,7,6,1
2008,PostScript,6,1,1
2008,Perl6,11,10,2
2008,OCaml,20,4,1
2008,Augeas,481,263,1
2008,Go,8,2,2
2008,XSLT,20,4,1
2008,LilyPond,3,2,1
2008,Nu,1,1,1
2008,CMake,19,14,1
2008,Racket,36,12,1
2008,Io,1,1,1
2008,Prolog,18,12,2
2008,CoffeeScript,1,1,1
2008,Smarty,3,1,1
2008,Cucumber,9,3,1
2009,Ruby,196327,109859,1786
2009,Objective-C,13809,4377,187
2009,Python,87155,48319,967
2009,CoffeeScript,7729,1673,10
2009,JavaScript,81832,31729,701
2009,C++,24491,13395,246
2009,Perl,15259,7018,919
2009,Shell,15507,7392,179
2009,C,28735,12151,511
2009,Scala,17899,8846,47
2009,PHP,62080,24379,588
2009,\N,12420,4481,243
2009,HTML,2526,1261,86
2009,Java,36442,19080,430
2009,C#,10409,3634,120
2009,CSS,1696,815,67
2009,Puppet,270,251,14
2009,VimL,7039,2901,125
2009,R,1726,636,19
2009,Perl6,1353,1239,20
2009,Common Lisp,681,351,69
2009,Haskell,2613,1093,73
2009,Emacs Lisp,2779,1011,126
2009,Erlang,3943,2742,80
2009,Lua,870,436,46
2009,Pascal,28,19,4
2009,ActionScript,553,233,30
2009,Clojure,4388,1506,48
2009,Groovy,406,97,15
2009,Go,2114,955,36
2009,OCaml,2495,1252,22
2009,Scheme,104,66,12
2009,Eagle,101,14,2
2009,Nemerle,32,11,2
2009,Makefile,227,97,9
2009,TeX,341,48,16
2009,Standard ML,2982,1057,5
2009,M4,65,23,4
2009,Smalltalk,12,18,5
2009,AutoHotkey,100,22,4
2009,Objective-C++,27,19,2
2009,PowerShell,201,91,3
2009,Matlab,52,32,5
2009,Groff,879,11,4
2009,XSLT,582,342,13
2009,Eiffel,24,13,1
2009,PostScript,12,9,2
2009,Verilog,8,7,2
2009,Visual Basic,8,6,3
2009,Racket,1,1,1
2009,D,15,9,3
2009,Objective-J,32,10,3
2009,VCL,2,2,1
2009,Rust,4,3,1
